,Cluster,Nmembs
570,NGC_2204,263
571,NGC_2215,376
572,NGC_2225,17
573,NGC_2232,1268
574,NGC_2236,226
575,NGC_2243,178
576,NGC_2244,745
577,NGC_225,254
578,NGC_2251,336
579,NGC_2254,55
580,NGC_2259,22
581,NGC_2262,36
582,NGC_2264,311
583,NGC_2266,78
584,NGC_2269,17
585,NGC_2281,1064
586,NGC_2286,177
587,NGC_2287,958
588,NGC_2301,700
589,NGC_2302,139
590,NGC_2304,43
591,NGC_2309,146
592,NGC_2311,137
593,NGC_2318,341
594,NGC_2323,851
595,NGC_2324,155
596,NGC_2335,297
597,NGC_2343,185
598,NGC_2345,421
599,NGC_2353,567
600,NGC_2354,432
601,NGC_2355,277
602,NGC_2358,367
603,NGC_2360,703
604,NGC_2362,384
605,NGC_2367,76
606,NGC_2374,290
607,NGC_2383,101
608,NGC_2414,143
609,NGC_2420,129
610,NGC_2421,319
611,NGC_2422,1205
612,NGC_2423,694
613,NGC_2425,105
614,NGC_2428,403
615,NGC_2432,227
616,NGC_2437,837
617,NGC_2439,234
618,NGC_2447,825
619,NGC_2448,686
620,NGC_2451A,1784
621,NGC_2451B,1178
622,NGC_2453,71
623,NGC_2455,186
624,NGC_2477,752
625,NGC_2482,367
626,NGC_2489,234
627,NGC_2506,423
628,NGC_2509,236
629,NGC_2516,1430
630,NGC_2527,855
631,NGC_2533,141
632,NGC_2539,572
633,NGC_2546,470
634,NGC_2547,1136
635,NGC_2548,772
636,NGC_2567,219
637,NGC_2571,415
638,NGC_2580,55
639,NGC_2587,247
640,NGC_2588,21
641,NGC_2627,323
642,NGC_2632,2008
643,NGC_2635,148
644,NGC_2658,169
645,NGC_2659,134
646,NGC_2660,197
647,NGC_2669,391
648,NGC_2670,374
649,NGC_2671,224
650,NGC_2682,682
651,NGC_2818,216
652,NGC_2849,64
653,NGC_2866,71
654,NGC_2910,296
655,NGC_2925,453
656,NGC_2972,160
657,NGC_3033,229
658,NGC_3114,986
659,NGC_3228,735
660,NGC_3255,75
661,NGC_3293,237
662,NGC_3330,259
663,NGC_3496,343
664,NGC_3532,1669
665,NGC_3572,278
666,NGC_3590,143
667,NGC_3603,11
668,NGC_366,84
669,NGC_3680,320
670,NGC_3766,447
671,NGC_381,293
672,NGC_3960,206
673,NGC_4052,202
674,NGC_4103,374
675,NGC_433,170
676,NGC_4337,197
677,NGC_4349,263
678,NGC_436,102
679,NGC_4439,151
680,NGC_4463,163
681,NGC_457,351
682,NGC_4609,487
683,NGC_4755,401
684,NGC_4815,212
685,NGC_4852,379
686,NGC_5138,175
687,NGC_5168,122
688,NGC_5269,100
689,NGC_5281,122
690,NGC_5288,103
691,NGC_5316,434
692,NGC_5381,365
693,NGC_5460,519
694,NGC_559,254
695,NGC_5593,295
696,NGC_5606,28
697,NGC_5617,416
698,NGC_5662,651
699,NGC_5715,182
700,NGC_5749,299
701,NGC_5764,38
702,NGC_581,189
703,NGC_5822,840
704,NGC_5823,358
705,NGC_5925,484
706,NGC_5999,88
707,NGC_6005,166
708,NGC_6025,705
709,NGC_6031,33
710,NGC_6067,563
711,NGC_6087,542
712,NGC_609,31
713,NGC_6124,1206
714,NGC_6134,638
715,NGC_6152,320
716,NGC_6167,294
717,NGC_6178,190
718,NGC_6192,375
719,NGC_6193,725
720,NGC_6204,255
721,NGC_6208,465
722,NGC_6216,92
723,NGC_6231,479
724,NGC_6242,383
725,NGC_6249,41
726,NGC_6250,240
727,NGC_6253,130
728,NGC_6259,409
729,NGC_6268,122
730,NGC_6281,1034
731,NGC_6318,57
732,NGC_6322,161
733,NGC_6357,165
734,NGC_637,44
735,NGC_6383,545
736,NGC_6396,12
737,NGC_6400,298
738,NGC_6404,91
739,NGC_6405,1286
740,NGC_6416,469
741,NGC_6425,289
742,NGC_6451,144
743,NGC_6469,71
744,NGC_6475,2085
745,NGC_6494,828
746,NGC_6531,487
747,NGC_654,165
748,NGC_6561,146
749,NGC_6568,369
750,NGC_6583,62
751,NGC_659,148
752,NGC_6603,55
753,NGC_6611,237
754,NGC_6613,80
755,NGC_663,374
756,NGC_6631,33
757,NGC_6633,843
758,NGC_6645,324
759,NGC_6649,134
760,NGC_6664,228
761,NGC_6694,145
762,NGC_6704,50
763,NGC_6705,280
764,NGC_6709,461
